Player,Stat,Line,Season_Avg,L5_Avg,Formula,Expected,Std_Dev,Deviation,Z_Score,Recommendation,Confidence,Bookmaker,Over_Odds,Under_Odds
Brandon Miller,REB,3.5,0.33,0.33,(0.33 × 0.5) + (0.33 × 0.5) = 0.33,0.33,0.58,3.17,5.48,OVER,High,draftkings,118,-155
John Collins,FG3M,3.5,0.76,0.4,(0.76 × 0.5) + (0.4 × 0.5) = 0.58,0.58,0.75,2.92,3.88,OVER,High,fanduel,225,-320
Kris Dunn,PTS,16.5,7.06,6.4,(7.06 × 0.5) + (6.4 × 0.5) = 6.73,6.73,3.29,9.77,2.97,OVER,High,fanduel,126,-168
Kris Dunn,FG3M,2.5,0.76,0.6,(0.76 × 0.5) + (0.6 × 0.5) = 0.68,0.68,0.66,1.82,2.74,OVER,High,fanduel,265,-390
LeBron James,AST,4.5,10.0,10.0,(10.0 × 0.5) + (10.0 × 0.5) = 10.0,10.0,2.83,-5.5,-1.94,UNDER,High,draftkings,-130,100
Brandon Miller,FG3M,3.5,1.33,1.33,(1.33 × 0.5) + (1.33 × 0.5) = 1.33,1.33,1.15,2.17,1.88,OVER,High,draftkings,127,-167
Austin Reaves,REB,10.5,5.46,6.0,(5.46 × 0.5) + (6.0 × 0.5) = 5.73,5.73,2.63,4.77,1.81,OVER,High,draftkings,-125,-105
Jaden Ivey,PTS,8.5,11.0,11.0,(11.0 × 0.5) + (11.0 × 0.5) = 11.0,11.0,1.41,-2.5,-1.77,UNDER,High,draftkings,-127,-101
Marcus Smart,PTS,2.5,9.46,9.2,(9.46 × 0.5) + (9.2 × 0.5) = 9.33,9.33,3.95,-6.83,-1.73,UNDER,High,draftkings,-105,-125
Kris Dunn,REB,0.5,2.59,3.0,(2.59 × 0.5) + (3.0 × 0.5) = 2.79,2.79,1.46,-2.29,-1.57,UNDER,High,fanatics,-130,100
LeBron James,PTS,20.5,14.0,14.0,(14.0 × 0.5) + (14.0 × 0.5) = 14.0,14.0,4.24,6.5,1.53,OVER,High,draftkings,-130,100
Clint Capela,PTS,5.5,3.29,2.0,(3.29 × 0.5) + (2.0 × 0.5) = 2.64,2.64,2.16,2.86,1.32,OVER,High,draftkings,-129,101
John Collins,PTS,16.5,11.24,10.4,(11.24 × 0.5) + (10.4 × 0.5) = 10.82,10.82,4.71,5.68,1.21,OVER,High,fanduel,-106,-125
Jaren Jackson Jr.,PTS,22.5,17.75,19.4,(17.75 × 0.5) + (19.4 × 0.5) = 18.58,18.58,3.45,3.93,1.14,OVER,High,draftkings,-107,-119
LaMelo Ball,AST,6.5,9.3,8.4,(9.3 × 0.5) + (8.4 × 0.5) = 8.85,8.85,2.11,-2.35,-1.11,UNDER,High,draftkings,-149,113
Josh Okogie,REB,4.5,2.4,2.8,(2.4 × 0.5) + (2.8 × 0.5) = 2.6,2.6,1.72,1.9,1.1,OVER,High,draftkings,115,-152
Norman Powell,PTS,19.5,25.43,26.6,(25.43 × 0.5) + (26.6 × 0.5) = 26.01,26.01,6.26,-6.51,-1.04,UNDER,High,draftkings,-106,-120
Chris Paul,AST,1.5,3.83,3.8,(3.83 × 0.5) + (3.8 × 0.5) = 3.82,3.82,2.37,-2.32,-0.98,UNDER,Medium,fanatics,-250,155
Ivica Zubac,PTS,11.5,17.0,19.0,(17.0 × 0.5) + (19.0 × 0.5) = 18.0,18.0,6.75,-6.5,-0.96,UNDER,Medium,fanduel,-112,-118
Drew Eubanks,REB,4.5,2.89,2.8,(2.89 × 0.5) + (2.8 × 0.5) = 2.84,2.84,1.75,1.66,0.95,OVER,Medium,fanduel,-138,104
LeBron James,REB,2.5,4.5,4.5,(4.5 × 0.5) + (4.5 × 0.5) = 4.5,4.5,2.12,-2.0,-0.94,UNDER,Medium,draftkings,-180,140
Marcus Smart,FG3M,0.5,1.15,1.6,(1.15 × 0.5) + (1.6 × 0.5) = 1.38,1.38,0.99,-0.88,-0.89,UNDER,Medium,draftkings,140,-180
Kawhi Leonard,PTS,17.5,23.71,25.8,(23.71 × 0.5) + (25.8 × 0.5) = 24.76,24.76,8.18,-7.26,-0.89,UNDER,Medium,fanatics,100,-130
Ben Sheppard,FG3M,1.5,0.82,0.4,(0.82 × 0.5) + (0.4 × 0.5) = 0.61,0.61,1.01,0.89,0.88,OVER,Medium,draftkings,171,-230
Nicolas Batum,PTS,8.5,4.53,7.0,(4.53 × 0.5) + (7.0 × 0.5) = 5.76,5.76,3.14,2.74,0.87,OVER,Medium,fanduel,106,-140
Jaren Jackson Jr.,FG3M,2.5,1.62,1.6,(1.62 × 0.5) + (1.6 × 0.5) = 1.61,1.61,1.02,0.89,0.87,OVER,Medium,draftkings,148,-197
Shai Gilgeous-Alexander,FG3M,1.5,2.22,2.4,(2.22 × 0.5) + (2.4 × 0.5) = 2.31,2.31,0.94,-0.81,-0.86,UNDER,Medium,draftkings,-149,113
Clint Capela,REB,6.5,4.21,3.2,(4.21 × 0.5) + (3.2 × 0.5) = 3.71,3.71,3.24,2.79,0.86,OVER,Medium,draftkings,102,-134
Jake LaRavia,REB,1.5,4.25,3.0,(4.25 × 0.5) + (3.0 × 0.5) = 3.62,3.62,2.52,-2.12,-0.84,UNDER,Medium,draftkings,160,-210
Ivica Zubac,REB,9.5,11.59,14.2,(11.59 × 0.5) + (14.2 × 0.5) = 12.89,12.89,4.06,-3.39,-0.84,UNDER,Medium,fanduel,-166,124
Jaxson Hayes,REB,2.5,4.08,3.6,(4.08 × 0.5) + (3.6 × 0.5) = 3.84,3.84,1.61,-1.34,-0.83,UNDER,Medium,draftkings,154,-200
Jericho Sims,PTS,3.5,1.62,2.4,(1.62 × 0.5) + (2.4 × 0.5) = 2.01,2.01,1.8,1.49,0.83,OVER,Medium,fanatics,-110,-120
James Harden,AST,10.5,8.38,6.8,(8.38 × 0.5) + (6.8 × 0.5) = 7.59,7.59,3.54,2.91,0.82,OVER,Medium,williamhill_us,-115,-115
Cedric Coward,AST,3.5,2.78,2.0,(2.78 × 0.5) + (2.0 × 0.5) = 2.39,2.39,1.4,1.11,0.8,OVER,Medium,draftkings,116,-153
Josh Hart,AST,3.5,4.67,6.6,(4.67 × 0.5) + (6.6 × 0.5) = 5.63,5.63,2.74,-2.13,-0.78,UNDER,Medium,draftkings,-160,121
Immanuel Quickley,REB,3.5,4.78,6.0,(4.78 × 0.5) + (6.0 × 0.5) = 5.39,5.39,2.41,-1.89,-0.78,UNDER,Medium,draftkings,-155,117
Tobias Harris,AST,1.5,2.88,2.2,(2.88 × 0.5) + (2.2 × 0.5) = 2.54,2.54,1.36,-1.04,-0.77,UNDER,Medium,draftkings,-156,118
Bennedict Mathurin,FG3M,1.5,2.17,2.0,(2.17 × 0.5) + (2.0 × 0.5) = 2.08,2.08,0.75,-0.58,-0.77,UNDER,Medium,draftkings,-129,-102
Kawhi Leonard,FG3M,1.5,2.43,3.0,(2.43 × 0.5) + (3.0 × 0.5) = 2.71,2.71,1.62,-1.21,-0.75,UNDER,Medium,fanduel,134,-180
Andrew Nembhard,REB,2.5,1.6,1.8,(1.6 × 0.5) + (1.8 × 0.5) = 1.7,1.7,1.07,0.8,0.74,OVER,Medium,draftkings,119,-157
Karl-Anthony Towns,AST,2.5,3.38,3.6,(3.38 × 0.5) + (3.6 × 0.5) = 3.49,3.49,1.36,-0.99,-0.73,UNDER,Medium,draftkings,-167,126
Saddiq Bey,FG3M,2.5,1.88,1.2,(1.88 × 0.5) + (1.2 × 0.5) = 1.54,1.54,1.32,0.96,0.73,OVER,Medium,draftkings,134,-178
Mikal Bridges,FG3M,1.5,2.38,2.2,(2.38 × 0.5) + (2.2 × 0.5) = 2.29,2.29,1.09,-0.79,-0.72,UNDER,Medium,draftkings,-193,145
