Player,Stat,Line,Season_Avg,L5_Avg,Formula,Expected,Std_Dev,Deviation,Z_Score,Recommendation,Confidence,Bookmaker,Over_Odds,Under_Odds
Brandon Miller,REB,3.5,0.33,0.33,(0.33 × 0.5) + (0.33 × 0.5) = 0.33,0.33,0.58,3.17,5.48,OVER,High,fanatics,105,-140
Ryan Kalkbrenner,AST,1.5,0.4,0.2,(0.4 × 0.5) + (0.2 × 0.5) = 0.3,0.3,0.63,1.2,1.9,OVER,High,fanatics,115,-150
Paul George,REB,4.5,6.0,6.0,(6.0 × 0.5) + (6.0 × 0.5) = 6.0,6.0,1.41,-1.5,-1.06,UNDER,High,fanduel,-130,102
Dyson Daniels,FG3M,0.5,0.18,0.0,(0.18 × 0.5) + (0.0 × 0.5) = 0.09,0.09,0.39,0.41,1.05,OVER,High,fanatics,100,-130
Andre Drummond,AST,1.5,0.71,0.6,(0.71 × 0.5) + (0.6 × 0.5) = 0.66,0.66,0.83,0.84,1.02,OVER,High,fanatics,155,-250
Brandon Miller,FG3M,2.5,1.33,1.33,(1.33 × 0.5) + (1.33 × 0.5) = 1.33,1.33,1.15,1.17,1.01,OVER,High,fanduel,-118,-112
Ziaire Williams,AST,1.5,0.62,0.6,(0.62 × 0.5) + (0.6 × 0.5) = 0.61,0.61,0.96,0.89,0.93,OVER,Medium,fanatics,100,-130
Day'Ron Sharpe,FG3M,0.5,0.21,0.0,(0.21 × 0.5) + (0.0 × 0.5) = 0.11,0.11,0.43,0.39,0.92,OVER,Medium,fanatics,270,-475
Ace Bailey,AST,2.5,1.6,1.6,(1.6 × 0.5) + (1.6 × 0.5) = 1.6,1.6,1.06,0.9,0.85,OVER,Medium,betonlineag,155,-204
Ziaire Williams,REB,3.5,2.46,2.2,(2.46 × 0.5) + (2.2 × 0.5) = 2.33,2.33,1.39,1.17,0.84,OVER,Medium,fanduel,116,-154
