Player,Stat,Line,Season_Avg,L5_Avg,Formula,Expected,Std_Dev,Deviation,Z_Score,Recommendation,Confidence,Bookmaker,Over_Odds,Under_Odds
Brandon Miller,REB,2.5,0.33,0.33,(0.33 × 0.5) + (0.33 × 0.5) = 0.33,0.33,0.58,2.17,3.75,OVER,High,betmgm,-140,105
Aaron Holiday,REB,1.5,0.5,0.4,(0.5 × 0.5) + (0.4 × 0.5) = 0.45,0.45,0.71,1.05,1.48,OVER,High,betonlineag,-156,120
Clint Capela,PTS,5.5,3.29,2.0,(3.29 × 0.5) + (2.0 × 0.5) = 2.64,2.64,2.16,2.86,1.32,OVER,High,draftkings,-133,105
Kel'el Ware,AST,1.5,0.61,0.4,(0.61 × 0.5) + (0.4 × 0.5) = 0.51,0.51,0.78,0.99,1.28,OVER,High,draftkings,124,-164
Precious Achiuwa,FG3M,0.5,0.09,0.2,(0.09 × 0.5) + (0.2 × 0.5) = 0.15,0.15,0.3,0.35,1.18,OVER,High,betonlineag,204,-278
Derik Queen,FG3M,0.5,0.11,0.2,(0.11 × 0.5) + (0.2 × 0.5) = 0.16,0.16,0.32,0.34,1.07,OVER,High,betmgm,230,-325
Jaden Ivey,PTS,9.5,11.0,11.0,(11.0 × 0.5) + (11.0 × 0.5) = 11.0,11.0,1.41,-1.5,-1.06,UNDER,High,bovada,110,190
Brandon Miller,FG3M,2.5,1.33,1.33,(1.33 × 0.5) + (1.33 × 0.5) = 1.33,1.33,1.15,1.17,1.01,OVER,High,fanduel,-178,132
Jericho Sims,REB,4.5,2.08,2.6,(2.08 × 0.5) + (2.6 × 0.5) = 2.34,2.34,2.14,2.16,1.01,OVER,High,fanatics,110,-145
Sandro Mamukelashvili,FG3M,0.5,1.18,1.4,(1.18 × 0.5) + (1.4 × 0.5) = 1.29,1.29,0.81,-0.79,-0.97,UNDER,Medium,betmgm,-250,180
Jordan Goodwin,AST,3.5,2.0,2.0,(2.0 × 0.5) + (2.0 × 0.5) = 2.0,2.0,1.56,1.5,0.96,OVER,Medium,fanduel,136,-182
Drew Eubanks,REB,4.5,2.89,2.8,(2.89 × 0.5) + (2.8 × 0.5) = 2.84,2.84,1.75,1.66,0.95,OVER,Medium,fanduel,-106,-125
Ben Sheppard,FG3M,1.5,0.82,0.4,(0.82 × 0.5) + (0.4 × 0.5) = 0.61,0.61,1.01,0.89,0.88,OVER,Medium,fanduel,164,-225
Shai Gilgeous-Alexander,FG3M,1.5,2.22,2.4,(2.22 × 0.5) + (2.4 × 0.5) = 2.31,2.31,0.94,-0.81,-0.86,UNDER,Medium,draftkings,-148,112
Aaron Holiday,AST,1.5,0.9,0.6,(0.9 × 0.5) + (0.6 × 0.5) = 0.75,0.75,0.88,0.75,0.86,OVER,Medium,betmgm,-165,125
Jericho Sims,PTS,3.5,1.62,2.4,(1.62 × 0.5) + (2.4 × 0.5) = 2.01,2.01,1.8,1.49,0.83,OVER,Medium,fanatics,-115,-115
Jeremy Sochan,REB,5.5,3.5,4.8,(3.5 × 0.5) + (4.8 × 0.5) = 4.15,4.15,1.65,1.35,0.82,OVER,Medium,fanduel,122,-162
Cedric Coward,AST,3.5,2.78,2.0,(2.78 × 0.5) + (2.0 × 0.5) = 2.39,2.39,1.4,1.11,0.8,OVER,Medium,fanduel,120,-160
Ja'Kobe Walter,AST,1.5,0.67,0.8,(0.67 × 0.5) + (0.8 × 0.5) = 0.73,0.73,0.98,0.77,0.79,OVER,Medium,betmgm,100,-135
Tobias Harris,AST,1.5,2.88,2.2,(2.88 × 0.5) + (2.2 × 0.5) = 2.54,2.54,1.36,-1.04,-0.77,UNDER,Medium,draftkings,-151,114
Bennedict Mathurin,FG3M,1.5,2.17,2.0,(2.17 × 0.5) + (2.0 × 0.5) = 2.08,2.08,0.75,-0.58,-0.77,UNDER,Medium,fanduel,-146,110
Jamal Shead,FG3M,1.5,1.06,0.6,(1.06 × 0.5) + (0.6 × 0.5) = 0.83,0.83,0.87,0.67,0.77,OVER,Medium,williamhill_us,159,-218
Ja'Kobe Walter,REB,2.5,1.47,1.8,(1.47 × 0.5) + (1.8 × 0.5) = 1.63,1.63,1.13,0.87,0.77,OVER,Medium,betmgm,-165,125
Kris Murray,AST,1.5,1.0,0.8,(1.0 × 0.5) + (0.8 × 0.5) = 0.9,0.9,0.79,0.6,0.76,OVER,Medium,betmgm,-120,-110
Sam Hauser,AST,0.5,1.35,1.4,(1.35 × 0.5) + (1.4 × 0.5) = 1.38,1.38,1.17,-0.88,-0.75,UNDER,Medium,betmgm,-235,175
Andrew Nembhard,REB,2.5,1.6,1.8,(1.6 × 0.5) + (1.8 × 0.5) = 1.7,1.7,1.07,0.8,0.74,OVER,Medium,fanduel,122,-162
Karl-Anthony Towns,AST,2.5,3.38,3.6,(3.38 × 0.5) + (3.6 × 0.5) = 3.49,3.49,1.36,-0.99,-0.73,UNDER,Medium,fanduel,-162,122
Saddiq Bey,FG3M,2.5,1.88,1.2,(1.88 × 0.5) + (1.2 × 0.5) = 1.54,1.54,1.32,0.96,0.73,OVER,Medium,fanduel,132,-178
Kel'el Ware,FG3M,0.5,1.06,1.2,(1.06 × 0.5) + (1.2 × 0.5) = 1.13,1.13,0.87,-0.63,-0.72,UNDER,Medium,draftkings,-172,130
Josh Okogie,AST,1.5,1.13,0.8,(1.13 × 0.5) + (0.8 × 0.5) = 0.97,0.97,0.74,0.53,0.72,OVER,Medium,betmgm,125,-165
Jaden McDaniels,AST,1.5,2.31,2.6,(2.31 × 0.5) + (2.6 × 0.5) = 2.46,2.46,1.4,-0.96,-0.68,UNDER,Medium,betmgm,-145,110
Josh Okogie,PTS,9.5,7.4,5.4,(7.4 × 0.5) + (5.4 × 0.5) = 6.4,6.4,4.56,3.1,0.68,OVER,Medium,draftkings,-116,-110
Caris LeVert,AST,2.5,3.25,4.6,(3.25 × 0.5) + (4.6 × 0.5) = 3.92,3.92,2.14,-1.42,-0.67,UNDER,Medium,draftkings,114,-150
Kentavious Caldwell-Pope,FG3M,1.5,1.0,0.8,(1.0 × 0.5) + (0.8 × 0.5) = 0.9,0.9,0.91,0.6,0.66,OVER,Medium,fanduel,162,-220
LaMelo Ball,AST,7.5,9.3,8.4,(9.3 × 0.5) + (8.4 × 0.5) = 8.85,8.85,2.11,-1.35,-0.64,UNDER,Medium,fanduel,100,-132
Collin Sexton,PTS,13.5,15.81,16.2,(15.81 × 0.5) + (16.2 × 0.5) = 16.01,16.01,3.9,-2.51,-0.64,UNDER,Medium,bovada,105,170
Naz Reid,FG3M,1.5,2.0,2.8,(2.0 × 0.5) + (2.8 × 0.5) = 2.4,2.4,1.41,-0.9,-0.64,UNDER,Medium,draftkings,-168,127
Ja'Kobe Walter,PTS,8.5,4.47,7.0,(4.47 × 0.5) + (7.0 × 0.5) = 5.73,5.73,4.37,2.77,0.63,OVER,Medium,fanduel,-125,-106
Caris LeVert,REB,2.5,1.5,1.8,(1.5 × 0.5) + (1.8 × 0.5) = 1.65,1.65,1.38,0.85,0.62,OVER,Medium,draftkings,139,-185
Naz Reid,PTS,11.5,13.18,18.6,(13.18 × 0.5) + (18.6 × 0.5) = 15.89,15.89,7.19,-4.39,-0.61,UNDER,Medium,draftkings,-116,-110
Donovan Clingan,AST,1.5,1.72,3.2,(1.72 × 0.5) + (3.2 × 0.5) = 2.46,2.46,1.56,-0.96,-0.61,UNDER,Medium,williamhill_us,-164,122
Derrick White,REB,3.5,4.0,5.0,(4.0 × 0.5) + (5.0 × 0.5) = 4.5,4.5,1.66,-1.0,-0.6,UNDER,Medium,draftkings,-158,120
Mike Conley,FG3M,1.5,1.29,1.0,(1.29 × 0.5) + (1.0 × 0.5) = 1.15,1.15,0.59,0.35,0.6,OVER,Medium,williamhill_us,172,-240
Donovan Clingan,FG3M,0.5,0.78,1.2,(0.78 × 0.5) + (1.2 × 0.5) = 0.99,0.99,0.81,-0.49,-0.6,UNDER,Medium,betmgm,-150,110
Mitchell Robinson,REB,6.5,8.22,8.0,(8.22 × 0.5) + (8.0 × 0.5) = 8.11,8.11,2.73,-1.61,-0.59,UNDER,Medium,fanduel,-152,114
Isaiah Jackson,AST,1.5,0.94,1.0,(0.94 × 0.5) + (1.0 × 0.5) = 0.97,0.97,0.9,0.53,0.59,OVER,Medium,fanatics,120,-165
Clint Capela,AST,0.5,0.29,0.0,(0.29 × 0.5) + (0.0 × 0.5) = 0.14,0.14,0.61,0.36,0.58,OVER,Medium,betmgm,110,-145
Sandro Mamukelashvili,AST,1.5,1.94,2.0,(1.94 × 0.5) + (2.0 × 0.5) = 1.97,1.97,0.83,-0.47,-0.57,UNDER,Medium,betmgm,-175,135
Devin Booker,PTS,27.5,26.39,20.8,(26.39 × 0.5) + (20.8 × 0.5) = 23.59,23.59,6.88,3.91,0.57,OVER,Medium,bovada,-135,190
Shaedon Sharpe,FG3M,2.5,1.79,1.8,(1.79 × 0.5) + (1.8 × 0.5) = 1.79,1.79,1.25,0.71,0.57,OVER,Medium,fanduel,124,-166
Tobias Harris,PTS,11.5,13.88,14.8,(13.88 × 0.5) + (14.8 × 0.5) = 14.34,14.34,5.11,-2.84,-0.56,UNDER,Medium,draftkings,-106,-120
Jordan Clarkson,REB,1.5,1.88,2.8,(1.88 × 0.5) + (2.8 × 0.5) = 2.34,2.34,1.5,-0.84,-0.56,UNDER,Medium,betmgm,-190,145
Davion Mitchell,AST,5.5,7.33,6.6,(7.33 × 0.5) + (6.6 × 0.5) = 6.97,6.97,2.63,-1.47,-0.56,UNDER,Medium,fanduel,-132,100
Norman Powell,PTS,22.5,25.43,26.6,(25.43 × 0.5) + (26.6 × 0.5) = 26.01,26.01,6.26,-3.51,-0.56,UNDER,Medium,bovada,180,205
Jaren Jackson Jr.,PTS,20.5,17.75,19.4,(17.75 × 0.5) + (19.4 × 0.5) = 18.58,18.58,3.45,1.93,0.56,OVER,Medium,bovada,-135,205
Jock Landale,REB,4.5,5.56,5.8,(5.56 × 0.5) + (5.8 × 0.5) = 5.68,5.68,2.09,-1.18,-0.56,UNDER,Medium,fanduel,-130,-102
Jock Landale,FG3M,0.5,1.17,1.0,(1.17 × 0.5) + (1.0 × 0.5) = 1.08,1.08,1.04,-0.58,-0.56,UNDER,Medium,betmgm,-110,-120
Reed Sheppard,FG3M,3.5,2.73,2.6,(2.73 × 0.5) + (2.6 × 0.5) = 2.67,2.67,1.49,0.83,0.56,OVER,Medium,draftkings,129,-171
Keegan Murray,PTS,14.5,18.67,18.67,(18.67 × 0.5) + (18.67 × 0.5) = 18.67,18.67,7.51,-4.17,-0.56,UNDER,Medium,fanduel,100,-132
