Player,Stat,Line,Season_Avg,L5_Avg,Formula,Expected,Std_Dev,Deviation,Z_Score,Recommendation,Confidence,Bookmaker,Over_Odds,Under_Odds
Devin Vassell,PTS,16.5,13.88,13.8,(13.88 × 0.5) + (13.8 × 0.5) = 13.84,13.84,4.77,2.66,0.56,OVER,Medium,fanduel,-108,-122
Keldon Johnson,AST,2.5,1.75,2.0,(1.75 × 0.5) + (2.0 × 0.5) = 1.88,1.88,1.13,0.62,0.56,OVER,Medium,williamhill_us,129,-173
Jay Huff,AST,0.5,1.0,1.4,(1.0 × 0.5) + (1.4 × 0.5) = 1.2,1.2,1.27,-0.7,-0.55,UNDER,Medium,betmgm,-225,170
Cam Spencer,AST,4.5,3.33,4.2,(3.33 × 0.5) + (4.2 × 0.5) = 3.77,3.77,1.33,0.73,0.55,OVER,Medium,betonlineag,-101,-128
Clint Capela,REB,5.5,4.21,3.2,(4.21 × 0.5) + (3.2 × 0.5) = 3.71,3.71,3.24,1.79,0.55,OVER,Medium,bovada,-210,155
Josh Okogie,FG3M,1.5,1.2,0.6,(1.2 × 0.5) + (0.6 × 0.5) = 0.9,0.9,1.08,0.6,0.55,OVER,Medium,draftkings,139,-184
Devin Booker,FG3M,2.5,1.89,1.2,(1.89 × 0.5) + (1.2 × 0.5) = 1.54,1.54,1.75,0.96,0.55,OVER,Medium,fanduel,148,-200
Cade Cunningham,REB,5.5,6.0,8.2,(6.0 × 0.5) + (8.2 × 0.5) = 7.1,7.1,2.99,-1.6,-0.54,UNDER,Medium,draftkings,-125,-105
Pascal Siakam,FG3M,1.5,1.88,2.6,(1.88 × 0.5) + (2.6 × 0.5) = 2.24,2.24,1.36,-0.74,-0.54,UNDER,Medium,fanduel,-130,-102
Caris LeVert,PTS,8.5,9.83,12.6,(9.83 × 0.5) + (12.6 × 0.5) = 11.22,11.22,5.15,-2.72,-0.53,UNDER,Medium,draftkings,101,-129
Shaedon Sharpe,PTS,22.5,22.57,30.0,(22.57 × 0.5) + (30.0 × 0.5) = 26.29,26.29,7.13,-3.79,-0.53,UNDER,Medium,fanduel,-128,-104
Deni Avdija,PTS,26.5,24.89,22.0,(24.89 × 0.5) + (22.0 × 0.5) = 23.44,23.44,5.78,3.06,0.53,OVER,Medium,fanduel,-125,-106
Payton Pritchard,REB,3.5,4.29,5.4,(4.29 × 0.5) + (5.4 × 0.5) = 4.85,4.85,2.57,-1.35,-0.52,UNDER,Medium,draftkings,-158,119
Mikal Bridges,AST,3.5,4.69,4.2,(4.69 × 0.5) + (4.2 × 0.5) = 4.44,4.44,1.82,-0.94,-0.52,UNDER,Medium,fanduel,-152,114
Ben Sheppard,AST,1.5,1.94,2.6,(1.94 × 0.5) + (2.6 × 0.5) = 2.27,2.27,1.48,-0.77,-0.52,UNDER,Medium,williamhill_us,-176,130
Davion Mitchell,PTS,8.5,10.28,11.0,(10.28 × 0.5) + (11.0 × 0.5) = 10.64,10.64,4.1,-2.14,-0.52,UNDER,Medium,fanduel,-132,100
Josh Okogie,REB,3.5,2.4,2.8,(2.4 × 0.5) + (2.8 × 0.5) = 2.6,2.6,1.72,0.9,0.52,OVER,Medium,williamhill_us,-160,121
Malik Monk,REB,2.5,1.73,2.2,(1.73 × 0.5) + (2.2 × 0.5) = 1.97,1.97,1.03,0.53,0.52,OVER,Medium,betonlineag,103,-133
Ausar Thompson,FG3M,0.5,0.31,0.2,(0.31 × 0.5) + (0.2 × 0.5) = 0.25,0.25,0.48,0.25,0.51,OVER,Medium,betonlineag,195,-263
Pelle Larsson,AST,3.5,3.56,5.8,(3.56 × 0.5) + (5.8 × 0.5) = 4.68,4.68,2.31,-1.18,-0.51,UNDER,Medium,williamhill_us,124,-170
Andrew Wiggins,PTS,13.5,16.73,15.6,(16.73 × 0.5) + (15.6 × 0.5) = 16.17,16.17,5.32,-2.67,-0.5,UNDER,Medium,fanduel,100,-132
Keldon Johnson,FG3M,1.5,0.81,1.2,(0.81 × 0.5) + (1.2 × 0.5) = 1.01,1.01,0.98,0.49,0.5,OVER,Medium,fanduel,152,-205
Davion Mitchell,FG3M,0.5,1.06,0.8,(1.06 × 0.5) + (0.8 × 0.5) = 0.93,0.93,0.87,-0.43,-0.49,NO PLAY,N/A,betmgm,-200,145
Alex Caruso,PTS,7.5,5.85,5.6,(5.85 × 0.5) + (5.6 × 0.5) = 5.72,5.72,3.65,1.78,0.49,NO PLAY,N/A,draftkings,-110,-116
Immanuel Quickley,AST,6.5,6.06,5.6,(6.06 × 0.5) + (5.6 × 0.5) = 5.83,5.83,1.39,0.67,0.48,NO PLAY,N/A,fanduel,118,-158
Andrew Wiggins,AST,2.5,2.8,3.8,(2.8 × 0.5) + (3.8 × 0.5) = 3.3,3.3,1.66,-0.8,-0.48,NO PLAY,N/A,fanduel,154,-215
Alperen Sengun,FG3M,0.5,1.27,1.2,(1.27 × 0.5) + (1.2 × 0.5) = 1.23,1.23,1.53,-0.73,-0.48,NO PLAY,N/A,draftkings,-198,149
Duncan Robinson,PTS,10.5,12.59,13.2,(12.59 × 0.5) + (13.2 × 0.5) = 12.89,12.89,5.06,-2.39,-0.47,NO PLAY,N/A,draftkings,-107,-119
Payton Pritchard,FG3M,2.5,2.59,4.4,(2.59 × 0.5) + (4.4 × 0.5) = 3.49,3.49,2.09,-0.99,-0.47,NO PLAY,N/A,draftkings,-140,106
Bobby Portis,AST,1.5,1.17,0.8,(1.17 × 0.5) + (0.8 × 0.5) = 0.98,0.98,1.1,0.52,0.47,NO PLAY,N/A,betmgm,110,-150
Pelle Larsson,REB,2.5,2.89,4.2,(2.89 × 0.5) + (4.2 × 0.5) = 3.54,3.54,2.22,-1.04,-0.47,NO PLAY,N/A,betmgm,-118,-110
Mike Conley,AST,2.5,3.59,3.4,(3.59 × 0.5) + (3.4 × 0.5) = 3.49,3.49,2.12,-0.99,-0.47,NO PLAY,N/A,betmgm,-140,105
Brandin Podziemski,PTS,10.5,12.11,14.0,(12.11 × 0.5) + (14.0 × 0.5) = 13.05,13.05,5.41,-2.55,-0.47,NO PLAY,N/A,draftkings,-128,100
Andrew Nembhard,FG3M,1.5,1.9,2.2,(1.9 × 0.5) + (2.2 × 0.5) = 2.05,2.05,1.2,-0.55,-0.46,NO PLAY,N/A,fanduel,-114,-114
Norman Powell,FG3M,2.5,3.21,3.6,(3.21 × 0.5) + (3.6 × 0.5) = 3.41,3.41,1.97,-0.91,-0.46,NO PLAY,N/A,fanduel,-102,-130
Malik Monk,AST,2.5,2.07,1.8,(2.07 × 0.5) + (1.8 × 0.5) = 1.93,1.93,1.22,0.57,0.46,NO PLAY,N/A,betonlineag,-135,105
Ryan Kalkbrenner,PTS,7.5,9.4,9.8,(9.4 × 0.5) + (9.8 × 0.5) = 9.6,9.6,4.69,-2.1,-0.45,NO PLAY,N/A,fanduel,-102,-128
Miles Bridges,PTS,18.5,22.0,20.4,(22.0 × 0.5) + (20.4 × 0.5) = 21.2,21.2,6.05,-2.7,-0.45,NO PLAY,N/A,fanduel,-120,-110
Kon Knueppel,FG3M,3.5,3.71,4.8,(3.71 × 0.5) + (4.8 × 0.5) = 4.25,4.25,1.69,-0.75,-0.45,NO PLAY,N/A,fanduel,114,-152
Sion James,FG3M,0.5,1.29,0.6,(1.29 × 0.5) + (0.6 × 0.5) = 0.95,0.95,0.99,-0.45,-0.45,NO PLAY,N/A,betmgm,-155,115
Jamal Shead,AST,5.5,5.67,7.2,(5.67 × 0.5) + (7.2 × 0.5) = 6.43,6.43,2.09,-0.93,-0.45,NO PLAY,N/A,fanduel,-148,112
Jamal Shead,PTS,7.5,6.33,5.8,(6.33 × 0.5) + (5.8 × 0.5) = 6.07,6.07,3.2,1.43,0.45,NO PLAY,N/A,fanduel,-102,-130
Collin Murray-Boyles,AST,0.5,1.15,1.0,(1.15 × 0.5) + (1.0 × 0.5) = 1.08,1.08,1.28,-0.58,-0.45,NO PLAY,N/A,betmgm,-200,145
Rudy Gobert,PTS,8.5,10.71,10.2,(10.71 × 0.5) + (10.2 × 0.5) = 10.45,10.45,4.3,-1.95,-0.45,NO PLAY,N/A,draftkings,-128,101
Alperen Sengun,AST,6.5,7.13,7.0,(7.13 × 0.5) + (7.0 × 0.5) = 7.07,7.07,1.25,-0.57,-0.45,NO PLAY,N/A,draftkings,-112,-118
Alperen Sengun,REB,10.5,9.67,8.6,(9.67 × 0.5) + (8.6 × 0.5) = 9.13,9.13,3.06,1.37,0.45,NO PLAY,N/A,draftkings,-126,-104
Mitchell Robinson,AST,0.5,0.89,0.8,(0.89 × 0.5) + (0.8 × 0.5) = 0.84,0.84,0.78,-0.34,-0.44,NO PLAY,N/A,betmgm,115,-155
Zach LaVine,REB,3.5,3.31,2.6,(3.31 × 0.5) + (2.6 × 0.5) = 2.96,2.96,1.25,0.54,0.44,NO PLAY,N/A,fanduel,-104,-128
Jordan Clarkson,AST,1.5,1.75,2.4,(1.75 × 0.5) + (2.4 × 0.5) = 2.08,2.08,1.34,-0.58,-0.43,NO PLAY,N/A,betmgm,-160,120
Dylan Harper,PTS,12.5,14.0,13.8,(14.0 × 0.5) + (13.8 × 0.5) = 13.9,13.9,3.22,-1.4,-0.43,NO PLAY,N/A,fanduel,-102,-130
Luke Kornet,AST,2.5,2.11,1.8,(2.11 × 0.5) + (1.8 × 0.5) = 1.96,1.96,1.27,0.54,0.43,NO PLAY,N/A,williamhill_us,148,-200
Jeremy Sochan,FG3M,0.5,0.7,1.0,(0.7 × 0.5) + (1.0 × 0.5) = 0.85,0.85,0.82,-0.35,-0.43,NO PLAY,N/A,betmgm,-110,-120
Anfernee Simons,AST,2.5,2.59,4.0,(2.59 × 0.5) + (4.0 × 0.5) = 3.29,3.29,1.87,-0.79,-0.42,NO PLAY,N/A,draftkings,-111,-118
Kon Knueppel,PTS,17.5,19.35,22.8,(19.35 × 0.5) + (22.8 × 0.5) = 21.08,21.08,8.52,-3.58,-0.42,NO PLAY,N/A,fanduel,-106,-125
LaMelo Ball,REB,4.5,6.6,5.2,(6.6 × 0.5) + (5.2 × 0.5) = 5.9,5.9,3.31,-1.4,-0.42,NO PLAY,N/A,fanduel,-106,-125
Bobby Portis,FG3M,1.5,1.61,2.4,(1.61 × 0.5) + (2.4 × 0.5) = 2.01,2.01,1.2,-0.51,-0.42,NO PLAY,N/A,fanduel,152,-205
Norman Powell,AST,1.5,2.36,1.8,(2.36 × 0.5) + (1.8 × 0.5) = 2.08,2.08,1.39,-0.58,-0.42,NO PLAY,N/A,draftkings,-185,140
Anthony Edwards,AST,4.5,3.54,3.8,(3.54 × 0.5) + (3.8 × 0.5) = 3.67,3.67,1.98,0.83,0.42,NO PLAY,N/A,draftkings,107,-141
Kentavious Caldwell-Pope,AST,2.5,3.17,3.4,(3.17 × 0.5) + (3.4 × 0.5) = 3.28,3.28,1.89,-0.78,-0.42,NO PLAY,N/A,betonlineag,-147,114
Jose Alvarado,REB,2.5,2.88,4.0,(2.88 × 0.5) + (4.0 × 0.5) = 3.44,3.44,2.26,-0.94,-0.42,NO PLAY,N/A,betonlineag,-122,-106
Will Richard,AST,1.5,1.24,1.0,(1.24 × 0.5) + (1.0 × 0.5) = 1.12,1.12,0.9,0.38,0.42,NO PLAY,N/A,betmgm,175,-235
Dylan Harper,FG3M,0.5,0.83,0.8,(0.83 × 0.5) + (0.8 × 0.5) = 0.82,0.82,0.75,-0.32,-0.42,NO PLAY,N/A,williamhill_us,-190,137
Luka Garza,FG3M,0.5,0.67,1.2,(0.67 × 0.5) + (1.2 × 0.5) = 0.93,0.93,1.05,-0.43,-0.41,NO PLAY,N/A,fanatics,-190,130
Josh Hart,AST,4.5,4.67,6.6,(4.67 × 0.5) + (6.6 × 0.5) = 5.63,5.63,2.74,-1.13,-0.41,NO PLAY,N/A,fanduel,-146,110
Sion James,REB,2.5,3.18,3.4,(3.18 × 0.5) + (3.4 × 0.5) = 3.29,3.29,1.91,-0.79,-0.41,NO PLAY,N/A,betmgm,100,-135
Brandon Ingram,AST,3.5,3.89,4.0,(3.89 × 0.5) + (4.0 × 0.5) = 3.94,3.94,1.08,-0.44,-0.41,NO PLAY,N/A,fanduel,-158,118
Julius Randle,REB,6.5,7.47,7.4,(7.47 × 0.5) + (7.4 × 0.5) = 7.44,7.44,2.29,-0.94,-0.41,NO PLAY,N/A,draftkings,-113,-117
Alex Caruso,FG3M,1.5,1.23,1.0,(1.23 × 0.5) + (1.0 × 0.5) = 1.12,1.12,0.93,0.38,0.41,NO PLAY,N/A,draftkings,116,-153
Trey Murphy III,AST,3.5,3.06,2.4,(3.06 × 0.5) + (2.4 × 0.5) = 2.73,2.73,1.89,0.77,0.41,NO PLAY,N/A,fanduel,116,-154
Jock Landale,PTS,9.5,11.22,12.6,(11.22 × 0.5) + (12.6 × 0.5) = 11.91,11.91,5.91,-2.41,-0.41,NO PLAY,N/A,fanduel,-106,-125
Luke Kornet,PTS,9.5,8.22,6.0,(8.22 × 0.5) + (6.0 × 0.5) = 7.11,7.11,5.76,2.39,0.41,NO PLAY,N/A,fanduel,-114,-114
Duncan Robinson,REB,2.5,2.88,3.6,(2.88 × 0.5) + (3.6 × 0.5) = 3.24,3.24,1.83,-0.74,-0.4,NO PLAY,N/A,draftkings,-107,-123
Jerami Grant,REB,3.5,3.47,5.0,(3.47 × 0.5) + (5.0 × 0.5) = 4.24,4.24,1.84,-0.74,-0.4,NO PLAY,N/A,fanduel,-120,-110
Giannis Antetokounmpo,AST,5.5,6.85,7.2,(6.85 × 0.5) + (7.2 × 0.5) = 7.02,7.02,3.91,-1.52,-0.39,NO PLAY,N/A,fanduel,-136,102
Jeremiah Fears,PTS,14.5,15.39,17.4,(15.39 × 0.5) + (17.4 × 0.5) = 16.39,16.39,4.84,-1.89,-0.39,NO PLAY,N/A,fanduel,-130,-102
Jaren Jackson Jr.,AST,2.5,1.62,2.4,(1.62 × 0.5) + (2.4 × 0.5) = 2.01,2.01,1.26,0.49,0.39,NO PLAY,N/A,betonlineag,139,-182
Will Richard,FG3M,1.5,1.24,0.8,(1.24 × 0.5) + (0.8 × 0.5) = 1.02,1.02,1.25,0.48,0.39,NO PLAY,N/A,draftkings,167,-224
Dillon Brooks,PTS,20.5,22.0,24.4,(22.0 × 0.5) + (24.4 × 0.5) = 23.2,23.2,6.88,-2.7,-0.39,NO PLAY,N/A,fanduel,-118,-112
Royce O'Neale,FG3M,2.5,3.22,2.8,(3.22 × 0.5) + (2.8 × 0.5) = 3.01,3.01,1.31,-0.51,-0.39,NO PLAY,N/A,fanduel,-180,134
Kris Murray,REB,3.5,3.71,5.0,(3.71 × 0.5) + (5.0 × 0.5) = 4.35,4.35,2.2,-0.85,-0.39,NO PLAY,N/A,fanduel,-110,-120
Duncan Robinson,FG3M,2.5,3.06,3.2,(3.06 × 0.5) + (3.2 × 0.5) = 3.13,3.13,1.64,-0.63,-0.38,NO PLAY,N/A,draftkings,108,-142
Brandon Miller,AST,2.5,3.67,3.67,(3.67 × 0.5) + (3.67 × 0.5) = 3.67,3.67,3.06,-1.17,-0.38,NO PLAY,N/A,betmgm,-135,100
Scottie Barnes,FG3M,1.5,1.33,0.6,(1.33 × 0.5) + (0.6 × 0.5) = 0.97,0.97,1.41,0.53,0.38,NO PLAY,N/A,fanduel,174,-245
Mike Conley,PTS,4.5,6.0,5.2,(6.0 × 0.5) + (5.2 × 0.5) = 5.6,5.6,2.87,-1.1,-0.38,NO PLAY,N/A,betmgm,-135,100
Bennedict Mathurin,AST,2.5,2.0,2.2,(2.0 × 0.5) + (2.2 × 0.5) = 2.1,2.1,1.1,0.4,0.37,NO PLAY,N/A,fanduel,158,-215
Bennedict Mathurin,PTS,20.5,24.33,22.0,(24.33 × 0.5) + (22.0 × 0.5) = 23.17,23.17,7.17,-2.67,-0.37,NO PLAY,N/A,fanduel,-125,-106
Immanuel Quickley,REB,4.5,4.78,6.0,(4.78 × 0.5) + (6.0 × 0.5) = 5.39,5.39,2.41,-0.89,-0.37,NO PLAY,N/A,fanduel,134,-180
Collin Murray-Boyles,REB,3.5,3.15,2.0,(3.15 × 0.5) + (2.0 × 0.5) = 2.58,2.58,2.48,0.92,0.37,NO PLAY,N/A,betmgm,125,-160
Kel'el Ware,REB,11.5,11.0,15.6,(11.0 × 0.5) + (15.6 × 0.5) = 13.3,13.3,4.85,-1.8,-0.37,NO PLAY,N/A,fanduel,-112,-118
Julius Randle,PTS,20.5,24.24,21.4,(24.24 × 0.5) + (21.4 × 0.5) = 22.82,22.82,6.24,-2.32,-0.37,NO PLAY,N/A,draftkings,-111,-114
Rudy Gobert,AST,1.5,1.71,2.4,(1.71 × 0.5) + (2.4 × 0.5) = 2.05,2.05,1.49,-0.55,-0.37,NO PLAY,N/A,betmgm,120,-160
Jaylen Wells,AST,2.5,1.78,2.2,(1.78 × 0.5) + (2.2 × 0.5) = 1.99,1.99,1.4,0.51,0.37,NO PLAY,N/A,betonlineag,134,-175
Mark Williams,AST,1.5,0.93,1.2,(0.93 × 0.5) + (1.2 × 0.5) = 1.07,1.07,1.16,0.43,0.37,NO PLAY,N/A,betmgm,155,-210
