Player,Stat,Line,Season_Avg,L5_Avg,Formula,Expected,Std_Dev,Deviation,Z_Score,Recommendation,Confidence,Bookmaker,Over_Odds,Under_Odds
Onyeka Okongwu,PTS,13.5,13.35,16.2,(13.35 × 0.5) + (16.2 × 0.5) = 14.78,14.78,6.23,-1.28,-0.2,NO PLAY,N/A,fanduel,-136,102
Zaccharie Risacher,REB,2.5,3.57,2.4,(3.57 × 0.5) + (2.4 × 0.5) = 2.99,2.99,2.43,-0.49,-0.2,NO PLAY,N/A,fanduel,-158,116
Luke Kennard,AST,2.5,3.31,2.6,(3.31 × 0.5) + (2.6 × 0.5) = 2.95,2.95,2.28,-0.45,-0.2,NO PLAY,N/A,fanatics,105,-140
Patrick Williams,FG3M,1.5,1.52,2.0,(1.52 × 0.5) + (2.0 × 0.5) = 1.76,1.76,1.34,-0.26,-0.2,NO PLAY,N/A,fanatics,-115,-115
Naji Marshall,REB,4.5,4.75,3.0,(4.75 × 0.5) + (3.0 × 0.5) = 3.88,3.88,3.07,0.62,0.2,NO PLAY,N/A,fanduel,-138,104
Trey Murphy III,PTS,20.5,21.21,17.0,(21.21 × 0.5) + (17.0 × 0.5) = 19.1,19.1,7.38,1.4,0.19,NO PLAY,N/A,fanduel,-122,-108
Cam Whitmore,REB,3.5,2.96,3.0,(2.96 × 0.5) + (3.0 × 0.5) = 2.98,2.98,2.71,0.52,0.19,NO PLAY,N/A,betonlineag,-130,100
Josh Giddey,AST,9.5,7.19,10.6,(7.19 × 0.5) + (10.6 × 0.5) = 8.89,8.89,3.17,0.61,0.19,NO PLAY,N/A,fanatics,105,-140
Jaylen Wells,AST,1.5,1.71,1.8,(1.71 × 0.5) + (1.8 × 0.5) = 1.75,1.75,1.35,-0.25,-0.19,NO PLAY,N/A,fanatics,-150,115
Zach LaVine,REB,3.5,4.26,1.8,(4.26 × 0.5) + (1.8 × 0.5) = 3.03,3.03,2.49,0.47,0.19,NO PLAY,N/A,fanduel,134,-180
Zach Edey,AST,1.5,0.98,1.6,(0.98 × 0.5) + (1.6 × 0.5) = 1.29,1.29,1.13,0.21,0.18,NO PLAY,N/A,fanatics,120,-165
Russell Westbrook,PTS,13.5,13.25,11.4,(13.25 × 0.5) + (11.4 × 0.5) = 12.33,12.33,6.44,1.17,0.18,NO PLAY,N/A,fanduel,-122,-108
Alex Sarr,FG3M,1.5,1.57,1.0,(1.57 × 0.5) + (1.0 × 0.5) = 1.28,1.28,1.28,0.22,0.17,NO PLAY,N/A,betonlineag,158,-208
Naji Marshall,PTS,12.5,13.25,14.4,(13.25 × 0.5) + (14.4 × 0.5) = 13.82,13.82,7.97,-1.32,-0.17,NO PLAY,N/A,fanduel,-104,-128
